X1,id,Data.source.citation,Class,Order,Family,Genus,Species,Sub.species,Authority,Common.Name,Location.of.population,Country.list,Region,Are.coordinates.for.specific.location.,system,biome,realm,Native,Alien,Invasive,Units,Sampling.method,Data.transformed,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
2216,8127,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Bol'shoy Aynov Island,Russian Federation,Asia,TRUE,Marine,Unknown,Arctic,Yes,No,No,Occupied burrows-% change from 1st count.,census,No,13.1,19.4,12,14.4,15.9,16.5,16.3,15.6,12,18.5,16.5,16.7,16.9,12.3,15.3,12.8,15.3,20.6,17.7,16,13,13.3,13.8,13.2,13.8,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2432,8128,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Maly Aynov Island,Russian Federation,Asia,TRUE,Marine,Unknown,Arctic,Yes,No,No,Occupied burrows-% change from 1st count.,census,No,23.3,NA,NA,NA,NA,NA,NA,8.8,NA,5.6,7.9,8,10,NA,NA,NA,4.6,NA,NA,NA,4,NA,2.8,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2761,1662,Birdlife International (2005). Unknown publication - exact source not found.,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Norway,Norway,Europe,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,breeding population index,Unknown,No,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2762,1663,Birdlife International (2005). Unknown publication - exact source not found.,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Ireland,Ireland,Europe,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,breeding population index,Unknown,No,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2763,1664,Birdlife International (2005). Unknown publication - exact source not found.,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,France Atlantic,France,Europe,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,breeding population index,Unknown,No,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2764,1665,Birdlife International (2005). Unknown publication - exact source not found.,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,United Kingdom,United Kingdom,Europe,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,breeding population index,Unknown,No,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2907,8129,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Gavriloski island,Russian Federation,Asia,TRUE,Marine,Unknown,Arctic,Yes,No,No,no. birds-% change from 1st count.,census,No,128.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1376.1,1299.5,1213.2,1145.7,1107,1186.2,1300.6,1425.9,1286.1,1442.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3252,1656,"Krasnov, Y. V., G. G. Matishov, et al. (1995). Sea rookery birds of Murman. Spb..: Nauka: 224 pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Aynov Island, Murmansk, Russia",Russian Federation,Asia,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,2500,3000,3000,3000,2500,2500,3000,2500,2500,2300,3200,3000,3000,3100,3100,2400,2300,2100,2200,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3998,2555,"Lorentsen, S. H. and S. Christensen-Dalsgaard (2009). The national monitoring programme for seabirds. Results up to and including 2008. NINA Oppdragsmelding 852: 58pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Horníźy, Vardíź, Finnmark",Norway,Europe,TRUE,Marine,Unknown,Arctic,Yes,No,No,Population in % of mean,Apparently occupied nests,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3092,72.2841,73.7867,73.7792,NA,77.563,NA,76.8622,86.4949,NA,100.2427,98.7627,88.0049,92.8018,93.3422,90.8834,99.2953,103.7842,100.1586,95.2423,112.3664,115.7238,125.6902,66.9824,73.1825,96.0299,74.2559,77.3834,93.2043,NA,NA,NA,NA,NA,NA
4018,8126,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Hornoya island, Vardo",Norway,Europe,TRUE,Marine,Unknown,Arctic,Yes,No,No,Occupied burrows-% change from 1st count.,census,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,121.9,124.7,123.3,NA,130.7,NA,129.2,145,NA,168.3,164.6,148.4,155.4,155.4,151.9,164.7,174.5,170.5,159.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4019,8130,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Seven islands,Russian Federation,Asia,TRUE,Marine,Unknown,Arctic,Yes,No,No,no. birds-% change from 1st count.,census,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.3,417.2,462.7,417.4,419.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4261,1657,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Ríźst, Norway",Norway,Europe,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Unknown,Unknown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300000,NA,NA,NA,NA,NA,NA,NA,NA,520000,NA,NA,NA,NA,NA,NA,NA,450000,510000,460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4262,1658,"Mavor, R. A., M. Parsons, et al. (2004). Seabird numbers and breeding success in Britain and Ireland, 2003. UK Nature Conservation, No. 28. Peterborough, Joint Nature Conservation Committee.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Isle of May, Scotland",United Kingdom,Europe,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Breeding pairs,Whole colony counts,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41542,NA,NA,NA,NA,69300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4263,1659,"Mavor, R. A., M. Parsons, et al. (2004). Seabird numbers and breeding success in Britain and Ireland, 2003. UK Nature Conservation, No. 28. Peterborough, Joint Nature Conservation Committee.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Fidra,United Kingdom,Europe,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Breeding pairs,Whole colony counts,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,NA,NA,NA,1466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264,1660,"Mavor, R. A., M. Parsons, et al. (2004). Seabird numbers and breeding success in Britain and Ireland, 2003. UK Nature Conservation, No. 28. Peterborough, Joint Nature Conservation Committee.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Craigleith,United Kingdom,Europe,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Breeding pairs,Whole colony counts,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28000,NA,NA,NA,12100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265,1661,"Mavor, R. A., M. Parsons, et al. (2004). Seabird numbers and breeding success in Britain and Ireland, 2003. UK Nature Conservation, No. 28. Peterborough, Joint Nature Conservation Committee.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Farne Islands,United Kingdom,Europe,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Breeding pairs,Whole colony or sample colony counts,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34710,NA,NA,NA,NA,NA,NA,NA,NA,NA,55674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4396,4933,"Davoren, G. K. (2007). Effects of gill-net fishing on marine birds in a biological hotspot in the Northwest Atlantic. Conservation Biology 21(4): 1032-1045.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,NE coast of Newfoundland,Canada,North America,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Total number/kmŚ_,Regional-scale survey using strip-transects,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4437,8122,"Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,Rost islands,Norway,Europe,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Occupied burrows-% change from 1st count.,census,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,87.3,92.5,84.9,67.9,56.8,51,44.9,36.5,36.1,38.3,45.7,42.2,43.7,38.5,39.2,38.5,34.9,44,36.2,35.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14469,2553,"Lorentsen, S.-H. (2004). The national monitoring programme for seabirds. Results up to and including the breeding season 2004. NINA Oppdragsmelding 852: 46pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Runde, Heríźy, Míźre og Romsdal",Norway,Europe,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Estimated number relative,Apparantly occupied nests,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,615,717,676,NA,NA,NA,NA,NA,726,654,632,700,704,695,748,722,784,771,799,787,694,721,775,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14470,2554,"Lorentsen, S.-H. (2004). The national monitoring programme for seabirds. Results up to and including the breeding season 2004. NINA Oppdragsmelding 852: 46pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Sklinna, Vikna, Nord-Tríźndelag",Norway,Europe,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Estimated number relative,Apparantly occupied nests,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.34,84.11,80.79,95.36,79.47,88.08,78.15,90.73,104.17,100.81,81.32,79.3,69.22,77.96,79.98,75.94,81.99,77.29,71.24,73.93,59.14,62.5,67.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14471,2556,"Lorentsen, S.-H. (2004). The national monitoring programme for seabirds. Results up to and including the breeding season 2004. NINA Oppdragsmelding 852: 46pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,"(Linnaeus, 1758)",Atlantic puffin,"Hernyken, Ríźst, Nordland",Norway,Europe,TRUE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Estimated number relative,Apparantly occupied nests,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,119700,104800,109850,102610,79680,68920,60560,53640,44240,43160,45760,55040,50120,52360,45760,46560,46680,41840,52480,43040,41880,41520,37520,31880,33840,35600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
